iter	Logloss
0	0.6266026715
1	0.5677427685
2	0.5174963432
3	0.4753130886
4	0.4411125846
5	0.4103330787
6	0.388191215
7	0.3667426326
8	0.3486805215
9	0.3312456848
10	0.3168971371
11	0.302498554
12	0.2922287266
13	0.2840126014
14	0.2757646405
15	0.2688634949
16	0.2616906419
17	0.2555677415
18	0.2500754002
19	0.2446722721
20	0.2401331495
21	0.2358456164
22	0.2314626959
23	0.2277769481
24	0.2249479012
25	0.2215881282
26	0.2186403152
27	0.2162330167
28	0.2139288774
29	0.2117740479
30	0.2097913176
31	0.2072445369
32	0.2052751852
33	0.2030236872
34	0.2014751171
35	0.1998867211
36	0.1984251446
37	0.1968005631
38	0.1952625998
39	0.1943811781
40	0.1933359003
41	0.1920511262
42	0.1909387721
43	0.1895460221
44	0.1886354228
45	0.1871585449
46	0.1862553245
47	0.1853751424
48	0.1845451747
49	0.1840224671
50	0.1832984237
51	0.1825219289
52	0.1814788707
53	0.1804163252
54	0.1794711881
55	0.1784990408
56	0.1780096508
57	0.1771595978
58	0.1764197883
59	0.175910313
60	0.1752983507
61	0.1747953596
62	0.1742964671
63	0.1736408706
64	0.1728369399
65	0.1722069439
66	0.1714063283
67	0.1706017996
68	0.1698102544
69	0.169537185
70	0.1689190791
71	0.1686372755
72	0.1680333928
73	0.1673987219
74	0.1668387877
75	0.1665867203
76	0.1660322882
77	0.1655441423
78	0.1653052069
79	0.1648276896
80	0.1643138777
81	0.1636465373
82	0.1632843138
83	0.1629400978
84	0.1625236659
85	0.1623102873
86	0.16199751
87	0.1614545555
88	0.1609620009
89	0.1604124052
90	0.1600726699
91	0.1595036631
92	0.1592279202
93	0.1587532686
94	0.1584287866
95	0.1582505262
96	0.1577537333
97	0.1574303819
98	0.1572319772
99	0.1569843534
100	0.156698809
101	0.1565033289
102	0.1561396234
103	0.1557971098
104	0.155430877
105	0.1550464533
106	0.15470002
107	0.1543300028
108	0.1539279818
109	0.1537068532
110	0.153377393
111	0.1528987408
112	0.1524580027
113	0.1518849758
114	0.1514403736
115	0.1511615741
116	0.150841133
117	0.1505596491
118	0.1502334605
119	0.1499705396
120	0.1497135988
121	0.149422859
122	0.1492004493
123	0.1488653266
124	0.1485525864
125	0.148254376
126	0.148091609
127	0.1477222509
128	0.1474544697
129	0.1471969614
130	0.1470357571
131	0.1464551429
132	0.1462021251
133	0.1458187184
134	0.1454573591
135	0.1450506195
136	0.1447018641
137	0.1444290806
138	0.1441974761
139	0.1439110031
140	0.1437542827
141	0.1432757702
142	0.1430871736
143	0.1427185478
144	0.1426496982
145	0.1424537173
146	0.1422616462
147	0.141944278
148	0.1415678596
149	0.1412526401
150	0.1410904689
151	0.1408076362
152	0.1404940983
153	0.1403335073
154	0.1401433982
155	0.1397810044
156	0.1395570103
157	0.1391993143
158	0.1389712716
159	0.1387377793
160	0.1384244759
161	0.1381319192
162	0.1380457878
163	0.137719849
164	0.1374721804
165	0.1373266103
166	0.1371072069
167	0.1367768726
168	0.1364443188
169	0.1362531927
170	0.135964583
171	0.1357213645
172	0.1354614642
173	0.1351790986
174	0.1351104433
175	0.1349121161
176	0.1345980009
177	0.1343152436
178	0.1340557678
179	0.1338118563
180	0.1336558048
181	0.133395384
182	0.1331943768
183	0.1329785036
184	0.1328095089
185	0.1326825237
186	0.1325461319
187	0.1322880387
188	0.13208553
189	0.1318556747
190	0.1315950368
191	0.1314385215
192	0.131134928
193	0.1310207092
194	0.1308382846
195	0.1306213911
196	0.1304416663
197	0.1302871131
198	0.1301163277
199	0.1298976948
200	0.1296312929
201	0.1295397827
202	0.1293291693
203	0.1291472664
204	0.129018019
205	0.1289030756
206	0.1286279591
207	0.1283634559
208	0.1281486467
209	0.1279282743
210	0.1277175464
211	0.1275863762
212	0.1273366975
213	0.1270679888
214	0.1268063927
215	0.1265790397
216	0.1262595981
217	0.1260266678
218	0.1257995156
219	0.1257362063
220	0.1255773907
221	0.1252577636
222	0.1250696887
223	0.1248617892
