iter	Passed	Remaining
0	18	18242
1	36	18088
2	54	18049
3	73	18272
4	94	18714
5	112	18590
6	126	17930
7	140	17377
8	152	16812
9	168	16728
10	182	16407
11	195	16082
12	208	15796
13	220	15536
14	232	15283
15	244	15032
16	256	14827
17	267	14617
18	279	14441
19	291	14268
20	304	14200
21	316	14082
22	328	13958
23	339	13824
24	351	13718
25	363	13614
26	374	13502
27	386	13425
28	399	13389
29	412	13326
30	423	13224
31	435	13162
32	447	13125
33	459	13060
34	470	12982
35	482	12929
36	494	12878
37	505	12808
38	518	12775
39	530	12729
40	542	12692
41	554	12649
42	566	12597
43	577	12554
44	589	12501
45	601	12482
46	615	12480
47	628	12456
48	639	12417
49	651	12374
50	662	12329
51	675	12306
52	686	12269
53	698	12243
54	710	12216
55	722	12183
56	734	12152
57	746	12127
58	760	12123
59	770	12078
60	782	12051
61	795	12028
62	807	12004
63	818	11976
64	831	11962
65	845	11971
66	857	11947
67	869	11916
68	881	11892
69	892	11863
70	905	11842
71	916	11811
72	928	11796
73	949	11885
74	961	11858
75	973	11830
76	984	11803
77	996	11777
78	1008	11755
79	1020	11734
80	1032	11714
81	1045	11700
82	1057	11678
83	1068	11652
84	1080	11634
85	1092	11615
86	1104	11591
87	1116	11565
88	1128	11548
89	1142	11548
90	1155	11542
91	1170	11552
92	1183	11547
93	1200	11566
94	1214	11572
95	1227	11559
96	1256	11693
97	1291	11886
98	1306	11891
99	1318	11870
100	1330	11840
101	1343	11826
102	1356	11816
103	1369	11799
104	1381	11776
105	1394	11763
106	1407	11743
107	1419	11725
108	1431	11704
109	1443	11680
110	1455	11655
111	1467	11633
112	1479	11613
113	1491	11591
114	1503	11573
115	1516	11554
116	1527	11531
117	1540	11515
118	1553	11498
119	1563	11467
120	1576	11453
121	1588	11434
122	1601	11419
123	1612	11394
124	1625	11376
125	1637	11356
126	1648	11331
127	1660	11309
128	1672	11293
129	1684	11274
130	1695	11250
131	1708	11232
132	1720	11216
133	1732	11197
134	1744	11175
135	1755	11154
136	1768	11140
137	1780	11122
138	1792	11104
139	1804	11084
140	1815	11063
141	1827	11042
142	1838	11020
143	1852	11011
144	1864	10993
145	1875	10972
146	1888	10956
147	1901	10944
148	1913	10930
149	1924	10907
150	1936	10887
151	1947	10866
152	1958	10843
153	1969	10821
154	1981	10802
155	1992	10778
156	2005	10769
157	2018	10755
158	2030	10741
159	2041	10719
160	2053	10698
161	2065	10682
162	2075	10658
163	2087	10643
164	2101	10632
165	2113	10616
166	2125	10602
167	2137	10585
168	2150	10572
169	2162	10559
170	2175	10545
171	2188	10535
172	2201	10524
173	2215	10517
174	2226	10497
175	2238	10480
176	2250	10464
177	2262	10450
178	2275	10434
179	2286	10417
180	2298	10399
181	2309	10381
182	2321	10364
183	2333	10347
184	2344	10327
185	2355	10307
186	2366	10290
187	2379	10277
188	2391	10261
189	2403	10245
190	2415	10230
191	2426	10212
192	2438	10196
193	2449	10177
194	2461	10160
195	2472	10144
196	2484	10128
197	2497	10114
198	2509	10099
199	2521	10084
200	2533	10072
201	2544	10053
